    3  295    0
                  -0.9982123E-32   0.0000000E+00   0.2313846E+00
   0.2343993E-01  -0.1814137E+01  -0.1494187E+01  -0.4067716E+01
   0.2288719E-01  -0.9070685E+00  -0.3065275E+01  -0.4067716E+01
   0.2288719E-01   0.9070685E+00  -0.3065275E+01  -0.4067716E+01
   0.2616314E-01   0.2613503E-15  -0.1494187E+01  -0.4553812E+01
  -0.2628658E-01  -0.9982123E-32   0.0000000E+00   0.4993494E+01
  -0.2519107E-01   0.2066202E+01   0.0000000E+00   0.4521897E+01
  -0.2374831E-01   0.1033101E+01   0.1789383E+01   0.4521897E+01
  -0.2374831E-01  -0.1033101E+01   0.1789383E+01   0.4521897E+01
  -0.2519107E-01  -0.2066202E+01   0.2530368E-15   0.4521897E+01
  -0.2374831E-01  -0.1033101E+01  -0.1789383E+01   0.4521897E+01
  -0.2374831E-01   0.1033101E+01  -0.1789383E+01   0.4521897E+01
  -0.2145513E-01   0.3723167E+01   0.0000000E+00   0.3200511E+01
  -0.1952726E-01   0.3132127E+01   0.2012896E+01   0.3200511E+01
  -0.1587459E-01   0.1546660E+01   0.3386712E+01   0.3200511E+01
  -0.1480166E-01  -0.5298619E+00   0.3685271E+01   0.3200511E+01
  -0.1764525E-01  -0.2438156E+01   0.2813782E+01   0.3200511E+01
  -0.2093584E-01  -0.3572353E+01   0.1048937E+01   0.3200511E+01
  -0.2093584E-01  -0.3572353E+01  -0.1048937E+01   0.3200511E+01
  -0.1764525E-01  -0.2438156E+01  -0.2813782E+01   0.3200511E+01
  -0.1480166E-01  -0.5298619E+00  -0.3685271E+01   0.3200511E+01
  -0.1587459E-01   0.1546660E+01  -0.3386712E+01   0.3200511E+01
  -0.1952726E-01   0.3132127E+01  -0.2012896E+01   0.3200511E+01
  -0.1421317E-01   0.4642713E+01   0.0000000E+00   0.1291054E+01
  -0.1200240E-01   0.4182940E+01   0.2014398E+01   0.1291054E+01
  -0.6629051E-02   0.2894684E+01   0.3629820E+01   0.1291054E+01
  -0.6629051E-02  -0.2894684E+01   0.3629820E+01   0.1291054E+01
  -0.1200240E-01  -0.4182940E+01   0.2014398E+01   0.1291054E+01
  -0.1421317E-01  -0.4642713E+01   0.5685684E-15   0.1291054E+01
  -0.1200240E-01  -0.4182940E+01  -0.2014398E+01   0.1291054E+01
  -0.6629051E-02  -0.2894684E+01  -0.3629820E+01   0.1291054E+01
  -0.6629051E-02   0.2894684E+01  -0.3629820E+01   0.1291054E+01
  -0.1200240E-01   0.4182940E+01  -0.2014398E+01   0.1291054E+01
  -0.3224939E-02   0.4642713E+01   0.0000000E+00  -0.8282845E+00
  -0.2774987E-03   0.4182940E+01   0.2014398E+01  -0.8282845E+00
  -0.2774987E-03  -0.4182940E+01   0.2014398E+01  -0.8282845E+00
  -0.3224939E-02  -0.4642713E+01   0.5685684E-15  -0.8282845E+00
  -0.2774987E-03  -0.4182940E+01  -0.2014398E+01  -0.8282845E+00
  -0.2774987E-03   0.4182940E+01  -0.2014398E+01  -0.8282845E+00
   0.1019684E-01   0.3723167E+01   0.0000000E+00  -0.2737742E+01
  -0.7701359E-03   0.1468471E+01   0.4709690E+01   0.1115366E+01
   0.3653585E-03  -0.5030758E+00   0.4993155E+01   0.1115366E+01
  -0.3119640E-02  -0.2314900E+01   0.4165723E+01   0.1115366E+01
   0.4388727E-02   0.3614262E+01   0.3391097E+01  -0.9255383E+00
   0.8135706E-02   0.2318731E+01   0.4853449E+01  -0.9255383E+00
   0.9761030E-02   0.4920076E+00   0.5546234E+01  -0.9255383E+00
   0.9219194E-02  -0.1447429E+01   0.5310744E+01  -0.9255383E+00
   0.6516578E-02  -0.3055277E+01   0.4200926E+01  -0.9255383E+00
   0.1834817E-02  -0.3963198E+01   0.2471027E+01  -0.9255383E+00
   0.1223191E-01   0.3534950E+01   0.1494187E+01  -0.2966442E+01
   0.1348357E-01   0.2973789E+01   0.3405325E+01  -0.2966442E+01
   0.1508183E-01   0.1468471E+01   0.4709690E+01  -0.2966442E+01
   0.1545625E-01  -0.5030758E+00   0.4993155E+01  -0.2966442E+01
   0.1438376E-01  -0.2314900E+01   0.4165723E+01  -0.2966442E+01
   0.1261979E-01  -0.3391759E+01   0.2490097E+01  -0.2966442E+01
   0.1964789E-01   0.2040904E+01   0.1494187E+01  -0.4460488E+01
   0.1895713E-01   0.1020452E+01   0.3261661E+01  -0.4460488E+01
   0.1895713E-01  -0.1020452E+01   0.3261661E+01  -0.4460488E+01
   0.1964789E-01  -0.2040904E+01   0.1494187E+01  -0.4460488E+01
   0.2202712E-01   0.4998773E-15   0.1494187E+01  -0.5007346E+01
  -0.3119640E-02  -0.2314900E+01  -0.4165723E+01   0.1115366E+01
   0.3653585E-03  -0.5030758E+00  -0.4993155E+01   0.1115366E+01
  -0.7701359E-03   0.1468471E+01  -0.4709690E+01   0.1115366E+01
   0.1834817E-02  -0.3963198E+01  -0.2471027E+01  -0.9255383E+00
   0.6516578E-02  -0.3055277E+01  -0.4200926E+01  -0.9255383E+00
   0.9219194E-02  -0.1447429E+01  -0.5310744E+01  -0.9255383E+00
   0.9761030E-02   0.4920076E+00  -0.5546234E+01  -0.9255383E+00
   0.8135706E-02   0.2318731E+01  -0.4853449E+01  -0.9255383E+00
   0.4388727E-02   0.3614262E+01  -0.3391097E+01  -0.9255383E+00
   0.1223191E-01   0.3534950E+01  -0.1494187E+01  -0.2966442E+01
   0.1261979E-01  -0.3391759E+01  -0.2490097E+01  -0.2966442E+01
   0.1438376E-01  -0.2314900E+01  -0.4165723E+01  -0.2966442E+01
   0.1545625E-01  -0.5030758E+00  -0.4993155E+01  -0.2966442E+01
   0.1508183E-01   0.1468471E+01  -0.4709690E+01  -0.2966442E+01
   0.1348357E-01   0.2973789E+01  -0.3405325E+01  -0.2966442E+01
   0.1964789E-01   0.2040904E+01  -0.1494187E+01  -0.4460488E+01
   0.1964789E-01  -0.2040904E+01  -0.1494187E+01  -0.4460488E+01
   0.1895713E-01  -0.1020452E+01  -0.3261661E+01  -0.4460488E+01
   0.1895713E-01   0.1020452E+01  -0.3261661E+01  -0.4460488E+01
   0.2202712E-01   0.3168922E-15  -0.1494187E+01  -0.5007346E+01
  -0.2153381E-01  -0.9982123E-32   0.0000000E+00   0.5522617E+01
  -0.2077172E-01   0.2024867E+01   0.0000000E+00   0.5119846E+01
  -0.1992911E-01   0.1012434E+01   0.1753586E+01   0.5119846E+01
  -0.1992911E-01  -0.1012434E+01   0.1753586E+01   0.5119846E+01
  -0.2077172E-01  -0.2024867E+01   0.2479747E-15   0.5119846E+01
  -0.1992911E-01  -0.1012434E+01  -0.1753586E+01   0.5119846E+01
  -0.1992911E-01   0.1012434E+01  -0.1753586E+01   0.5119846E+01
  -0.1829704E-01   0.3741467E+01   0.0000000E+00   0.3972851E+01
  -0.1729550E-01   0.3240205E+01   0.1870733E+01   0.3972851E+01
  -0.1524950E-01   0.1870733E+01   0.3240205E+01   0.3972851E+01
  -0.1420302E-01   0.2290988E-15   0.3741467E+01   0.3972851E+01
  -0.1524950E-01  -0.1870733E+01   0.3240205E+01   0.3972851E+01
  -0.1729550E-01  -0.3240205E+01   0.1870733E+01   0.3972851E+01
  -0.1829704E-01  -0.3741467E+01   0.4581975E-15   0.3972851E+01
  -0.1729550E-01  -0.3240205E+01  -0.1870733E+01   0.3972851E+01
  -0.1524950E-01  -0.1870733E+01  -0.3240205E+01   0.3972851E+01
  -0.1420302E-01  -0.6872963E-15  -0.3741467E+01   0.3972851E+01
  -0.1524950E-01   0.1870733E+01  -0.3240205E+01   0.3972851E+01
  -0.1729550E-01   0.3240205E+01  -0.1870733E+01   0.3972851E+01
  -0.1370984E-01   0.4888462E+01   0.0000000E+00   0.2256252E+01
  -0.1246372E-01   0.4465832E+01   0.1988316E+01   0.2256252E+01
  -0.9419842E-02   0.3271019E+01   0.3632835E+01   0.2256252E+01
  -0.6460171E-02   0.1510618E+01   0.4649203E+01   0.2256252E+01
  -0.5718442E-02  -0.5109834E+00   0.4861682E+01   0.2256252E+01
  -0.7782993E-02  -0.2444231E+01   0.4233532E+01   0.2256252E+01
  -0.1107102E-01  -0.3954849E+01   0.2873366E+01   0.2256252E+01
  -0.1338716E-01  -0.4781637E+01   0.1016368E+01   0.2256252E+01
  -0.1338716E-01  -0.4781637E+01  -0.1016368E+01   0.2256252E+01
  -0.1107102E-01  -0.3954849E+01  -0.2873366E+01   0.2256252E+01
  -0.7782993E-02  -0.2444231E+01  -0.4233532E+01   0.2256252E+01
  -0.5718442E-02  -0.5109834E+00  -0.4861682E+01   0.2256252E+01
  -0.6460171E-02   0.1510618E+01  -0.4649203E+01   0.2256252E+01
  -0.9419842E-02   0.3271019E+01  -0.3632835E+01   0.2256252E+01
  -0.1246372E-01   0.4465832E+01  -0.1988316E+01   0.2256252E+01
  -0.6787936E-02   0.5291233E+01   0.0000000E+00   0.2313846E+00
  -0.5407455E-02   0.4933928E+01   0.1911414E+01   0.2313846E+00
  -0.1725085E-02   0.3910268E+01   0.3564680E+01   0.2313846E+00
  -0.3787415E-02  -0.4498697E+01   0.2785475E+01   0.2313846E+00
  -0.6435932E-02  -0.5201139E+01   0.9722615E+00   0.2313846E+00
  -0.6435932E-02  -0.5201139E+01  -0.9722615E+00   0.2313846E+00
  -0.3787415E-02  -0.4498697E+01  -0.2785475E+01   0.2313846E+00
  -0.1725085E-02   0.3910268E+01  -0.3564680E+01   0.2313846E+00
  -0.5407455E-02   0.4933928E+01  -0.1911414E+01   0.2313846E+00
   0.2109379E-02   0.4888462E+01   0.0000000E+00  -0.1793483E+01
   0.4119327E-02   0.4465832E+01   0.1988316E+01  -0.1793483E+01
   0.2620345E-02  -0.4781637E+01   0.1016368E+01  -0.1793483E+01
   0.2620345E-02  -0.4781637E+01  -0.1016368E+01  -0.1793483E+01
   0.4119327E-02   0.4465832E+01  -0.1988316E+01  -0.1793483E+01
   0.1171111E-01   0.3741467E+01   0.0000000E+00  -0.3510082E+01
   0.1171111E-01  -0.3741467E+01   0.4581975E-15  -0.3510082E+01
  -0.3827643E-02  -0.5046304E+00   0.5003968E+01   0.1902201E+01
   0.2497846E-02   0.2756842E+01   0.4951158E+01   0.8367030E-01
   0.4441611E-02   0.9839057E+00   0.5804959E+01   0.8367030E-01
   0.4441611E-02  -0.9839057E+00   0.5804959E+01   0.8367030E-01
   0.2497846E-02  -0.2756842E+01   0.4951158E+01   0.8367030E-01
   0.6683640E-02   0.3983753E+01   0.3412661E+01  -0.1934747E+01
   0.8853402E-02   0.2756842E+01   0.4951158E+01  -0.1934747E+01
   0.1005757E-01   0.9839057E+00   0.5804959E+01  -0.1934747E+01
   0.1005757E-01  -0.9839057E+00   0.5804959E+01  -0.1934747E+01
   0.8853402E-02  -0.2756842E+01   0.4951158E+01  -0.1934747E+01
   0.6683640E-02  -0.3983753E+01   0.3412661E+01  -0.1934747E+01
   0.1260135E-01   0.3545873E+01   0.1494187E+01  -0.3753278E+01
   0.1278127E-01   0.2982979E+01   0.3411231E+01  -0.3753278E+01
   0.1363772E-01   0.1473009E+01   0.4719627E+01  -0.3753278E+01
   0.1386062E-01  -0.5046304E+00   0.5003968E+01  -0.3753278E+01
   0.1324096E-01  -0.2322053E+01   0.4173979E+01  -0.3753278E+01
   0.1245847E-01  -0.3402241E+01   0.2493175E+01  -0.3753278E+01
   0.1731153E-01   0.1967811E+01   0.1494187E+01  -0.5011741E+01
   0.1644666E-01   0.9839057E+00   0.3198361E+01  -0.5011741E+01
   0.1644666E-01  -0.9839057E+00   0.3198361E+01  -0.5011741E+01
   0.1731153E-01  -0.1967811E+01   0.1494187E+01  -0.5011741E+01
   0.1884457E-01   0.5554193E-15   0.1494187E+01  -0.5460881E+01
  -0.3827643E-02  -0.5046304E+00  -0.5003968E+01   0.1902201E+01
   0.2497846E-02  -0.2756842E+01  -0.4951158E+01   0.8367030E-01
   0.4441611E-02  -0.9839057E+00  -0.5804959E+01   0.8367030E-01
   0.4441611E-02   0.9839057E+00  -0.5804959E+01   0.8367030E-01
   0.2497846E-02   0.2756842E+01  -0.4951158E+01   0.8367030E-01
   0.6683640E-02  -0.3983753E+01  -0.3412661E+01  -0.1934747E+01
   0.8853402E-02  -0.2756842E+01  -0.4951158E+01  -0.1934747E+01
   0.1005757E-01  -0.9839057E+00  -0.5804959E+01  -0.1934747E+01
   0.1005757E-01   0.9839057E+00  -0.5804959E+01  -0.1934747E+01
   0.8853402E-02   0.2756842E+01  -0.4951158E+01  -0.1934747E+01
   0.6683640E-02   0.3983753E+01  -0.3412661E+01  -0.1934747E+01
   0.1260135E-01   0.3545873E+01  -0.1494187E+01  -0.3753278E+01
   0.1245847E-01  -0.3402241E+01  -0.2493175E+01  -0.3753278E+01
   0.1324096E-01  -0.2322053E+01  -0.4173979E+01  -0.3753278E+01
   0.1386062E-01  -0.5046304E+00  -0.5003968E+01  -0.3753278E+01
   0.1363772E-01   0.1473009E+01  -0.4719627E+01  -0.3753278E+01
   0.1278127E-01   0.2982979E+01  -0.3411231E+01  -0.3753278E+01
   0.1731153E-01   0.1967811E+01  -0.1494187E+01  -0.5011741E+01
   0.1731153E-01  -0.1967811E+01  -0.1494187E+01  -0.5011741E+01
   0.1644666E-01  -0.9839057E+00  -0.3198361E+01  -0.5011741E+01
   0.1644666E-01   0.9839057E+00  -0.3198361E+01  -0.5011741E+01
   0.1884457E-01   0.3724342E-15  -0.1494187E+01  -0.5460881E+01
