   22  983    0
   -.5044026E-01   -.3841123E+01    .9870498E+00    .5362519E+01
   -.5440583E-01   -.2915157E+01   -.6167699E+00    .5362519E+01
   -.5768543E-01   -.1063226E+01   -.6167699E+00    .5362519E+01
   -.4450367E-01    .1218448E+01    .9870498E+00    .4006811E+01
   -.4445549E-01   -.9979766E+00    .4037696E+01    .4006811E+01
   -.4802834E-01   -.2980407E+01    .4037696E+01    .4006811E+01
   -.4210544E-01   -.4584226E+01    .2872453E+01    .4006811E+01
   -.4609661E-01   -.2980407E+01   -.2063597E+01    .4006811E+01
   -.5491709E-01   -.9979766E+00   -.2063597E+01    .4006811E+01
   -.5182813E-01    .6058431E+00   -.8983533E+00    .4006811E+01
   -.3402373E-01   -.1989192E+01    .4690913E+01    .2154880E+01
   -.3496419E-01   -.3841123E+01    .4194689E+01    .2154880E+01
   -.4682329E-01   -.1372602E+00   -.2220590E+01    .2154880E+01
   -.1795002E-01   -.3274900E+01   -.3600850E+01    .1164521E+01
   -.1866088E-02   -.6109803E+01    .3235875E+01   -.8196909E+00
   -.4812398E-02   -.4224239E+01   -.4414157E+01   -.8196909E+00
   -.7217258E-02   -.2448258E+01   -.3740616E+01   -.8196909E+00
    .5480906E-02   -.5191681E+01    .2927109E+01   -.2803903E+01
    .1009751E-01   -.6953177E+01    .2122661E+01   -.2803903E+01
    .3396584E-01   -.7736926E+01   -.8780452E-01   -.3558558E+01
    .3890314E-01   -.7736926E+01   -.2153166E+01   -.3558558E+01
    .3538831E-01   -.6409337E+01   -.3735325E+01   -.3558558E+01
    .2940225E-01   -.4375353E+01   -.4093971E+01   -.3558558E+01
    .4590153E-01   -.3033593E+01   -.1120485E+01   -.5145928E+01
    .4084169E-01   -.4323012E+01    .6542480E+00   -.5145928E+01
    .3921843E-01   -.6409337E+01   -.2363980E-01   -.5145928E+01
    .4320772E-01   -.6409337E+01   -.2217331E+01   -.5145928E+01
    .4200119E-01   -.4323012E+01   -.2895219E+01   -.5145928E+01
    .4475770E-01   -.4899658E+01   -.1120485E+01   -.5752249E+01
    .4495770E-02   -.7892424E+01   -.2257553E+01    .4291979E+01
    .1216717E-01   -.1019786E+02    .4290717E+00    .2839435E+01
    .1273573E-01   -.1019786E+02   -.1507421E+01    .2839435E+01
   -.2158297E-01   -.4009134E+01   -.2397225E+01    .2839435E+01
   -.2335454E-02   -.6421977E+01    .3400316E+01    .8552223E+00
    .1427047E-01   -.1075343E+02   -.1488881E+01    .8552223E+00
    .3633259E-01   -.7892424E+01   -.2257553E+01   -.2581534E+01
   -.5579358E-02   -.6308758E+01    .1925409E+00    .5836961E+01
   -.3511894E-01   -.4442693E+01    .1925409E+00    .5230640E+01
   -.1424662E-01   -.5732112E+01    .1967274E+01    .5230640E+01
    .2874962E-02   -.7818437E+01    .1289386E+01    .5230640E+01
    .3311160E-02   -.7818437E+01   -.9043047E+00    .5230640E+01
   -.9754349E-02   -.5732112E+01   -.1582193E+01    .5230640E+01
   -.1616175E-01   -.5784452E+01    .3166027E+01    .3643270E+01
    .1332224E-02   -.7818437E+01    .2807381E+01    .3643270E+01
    .8821833E-02   -.9146025E+01    .1225222E+01    .3643270E+01
   -.3388935E-01   -.3995797E+01   -.1748264E+01    .3643270E+01
    .9773978E-02   -.9923693E+01    .1718868E+01    .2681501E+01
    .3614489E-02   -.7889709E+01    .3595508E+01    .1094132E+01
    .1052817E-01   -.9923693E+01    .3236862E+01    .1094132E+01
    .1362553E-01   -.1125128E+02    .1654703E+01    .1094132E+01
    .1384295E-01   -.1125128E+02   -.4106584E+00    .1094132E+01
    .8385947E-02   -.7889709E+01    .3595508E+01   -.8679654E+00
    .1430417E-01   -.9923693E+01    .3236862E+01   -.8679654E+00
    .1647550E-01   -.1125128E+02    .1654703E+01   -.8679654E+00
    .1562556E-01   -.1125128E+02   -.4106584E+00   -.8679654E+00
    .1355066E-01   -.7837369E+01    .2396756E+01   -.2455335E+01
    .1818877E-01   -.9923693E+01    .1718868E+01   -.2455335E+01
    .1979539E-01   -.9923693E+01   -.4748231E+00   -.2455335E+01
    .2413421E-01   -.8414014E+01    .6220224E+00   -.3061657E+01
    .3076633E-02   -.7580220E+01   -.2455025E+01    .4270616E+01
    .8326525E-02   -.9089899E+01   -.3551871E+01    .3664294E+01
    .1496684E-02   -.7003574E+01   -.4229759E+01    .3664294E+01
    .1247402E-01   -.1041749E+02   -.3487706E+01    .2076925E+01
    .1139755E-01   -.9089899E+01   -.5069865E+01    .2076925E+01
    .5830098E-02   -.7055914E+01   -.5428511E+01    .2076925E+01
   -.4661605E-02   -.5267259E+01   -.4395831E+01    .2076925E+01
    .1414250E-01   -.1041749E+02   -.3487706E+01    .1148276E+00
    .1412897E-01   -.9089899E+01   -.5069865E+01    .1148276E+00
    .1001804E-01   -.7055914E+01   -.5428511E+01    .1148276E+00
   -.8321019E-03   -.5267259E+01   -.4395831E+01    .1148276E+00
    .1815328E-01   -.9089899E+01   -.3551871E+01   -.1472542E+01
