    6  452    0
    .3996665E-02   -.9709862E+00    .4716182E+01   -.5018506E+00
   -.1756524E-02    .3142177E+01    .3541931E+01   -.2315988E+01
    .4253305E-02    .1814137E+01    .4869971E+01   -.2315988E+01
    .6325056E-02    .2221677E-15    .5356068E+01   -.2315988E+01
    .4253305E-02   -.1814137E+01    .4869971E+01   -.2315988E+01
   -.1756524E-02   -.3142177E+01    .3541931E+01   -.2315988E+01
   -.1053953E-02    .3142177E+01    .1727794E+01   -.4130124E+01
    .3617106E-02    .2542075E+01    .3574719E+01   -.4130124E+01
    .7037582E-02    .9709862E+00    .4716182E+01   -.4130124E+01
    .7037582E-02   -.9709862E+00    .4716182E+01   -.4130124E+01
    .3617106E-02   -.2542075E+01    .3574719E+01   -.4130124E+01
   -.1053953E-02   -.3142177E+01    .1727794E+01   -.4130124E+01
    .4030706E-02    .1814137E+01    .1727794E+01   -.5458165E+01
    .6649953E-02    .9070685E+00    .3298882E+01   -.5458165E+01
    .6649953E-02   -.9070685E+00    .3298882E+01   -.5458165E+01
    .4030706E-02   -.1814137E+01    .1727794E+01   -.5458165E+01
    .5680733E-02    .4443353E-15    .1727794E+01   -.5944261E+01
    .5680733E-02    .0000000E+00   -.1727794E+01    .5944261E+01
    .4030706E-02    .1814137E+01   -.1727794E+01    .5458165E+01
    .4030706E-02   -.1814137E+01   -.1727794E+01    .5458165E+01
    .6649953E-02   -.9070685E+00   -.3298882E+01    .5458165E+01
    .6649953E-02    .9070685E+00   -.3298882E+01    .5458165E+01
   -.1053953E-02    .3142177E+01   -.1727794E+01    .4130124E+01
   -.1053953E-02   -.3142177E+01   -.1727794E+01    .4130124E+01
    .3617106E-02   -.2542075E+01   -.3574719E+01    .4130124E+01
    .7037582E-02   -.9709862E+00   -.4716182E+01    .4130124E+01
    .7037582E-02    .9709862E+00   -.4716182E+01    .4130124E+01
    .3617106E-02    .2542075E+01   -.3574719E+01    .4130124E+01
   -.1756524E-02   -.3142177E+01   -.3541931E+01    .2315988E+01
    .4253305E-02   -.1814137E+01   -.4869971E+01    .2315988E+01
    .6325056E-02   -.6665026E-15   -.5356068E+01    .2315988E+01
    .4253305E-02    .1814137E+01   -.4869971E+01    .2315988E+01
   -.1756524E-02    .3142177E+01   -.3541931E+01    .2315988E+01
    .3996665E-02   -.9709862E+00   -.4716182E+01    .5018506E+00
    .3996665E-02    .9709862E+00   -.4716182E+01    .5018506E+00
    .3823118E-02    .0000000E+00    .0000000E+00    .6346427E+01
    .2312422E-02    .1952550E+01    .0000000E+00    .5958041E+01
    .2312422E-02   -.1952550E+01    .2391184E-15    .5958041E+01
   -.1624118E-02    .3607843E+01    .0000000E+00    .4852010E+01
   -.1033551E-02   -.3461700E+01    .1016447E+01    .4852010E+01
   -.1033551E-02   -.3461700E+01   -.1016447E+01    .4852010E+01
   -.6973389E-02    .4713874E+01    .0000000E+00    .3196718E+01
   -.4933411E-02    .4247053E+01    .2045273E+01    .3196718E+01
   -.4933411E-02   -.4247053E+01    .2045273E+01    .3196718E+01
   -.6973389E-02   -.4713874E+01    .5772829E-15    .3196718E+01
   -.4933411E-02   -.4247053E+01   -.2045273E+01    .3196718E+01
   -.4933411E-02    .4247053E+01   -.2045273E+01    .3196718E+01
   -.1285111E-01    .5102260E+01    .0000000E+00    .1244167E+01
   -.1077529E-01    .4713874E+01    .1952550E+01    .1244167E+01
   -.5068181E-02    .3607843E+01    .3607843E+01    .1244167E+01
   -.5068181E-02   -.3607843E+01    .3607843E+01    .1244167E+01
   -.1077529E-01   -.4713874E+01    .1952550E+01    .1244167E+01
