   29 1250
    -.5898587E-01   -.9079541E+01   -.7785177E+01   -.1602215E+01
    -.6617231E-01   -.7045556E+01   -.8143823E+01   -.1602215E+01
    -.7643919E-01   -.5256900E+01   -.7111142E+01   -.1602215E+01
    -.6709013E-01   -.9079541E+01   -.6267182E+01   -.3189586E+01
    -.7371570E-01   -.6993216E+01   -.6945070E+01   -.3189586E+01
    -.6581411E-01   -.1181857E+02   -.3160403E+00    .2517401E+01
    -.6504064E-01   -.1181857E+02   -.2509732E+01    .2517401E+01
    -.5968765E-01   -.1181857E+02    .1201955E+01    .9300301E+00
    -.5372993E-01   -.1314616E+02   -.3802051E+00    .9300301E+00
    -.5310390E-01   -.1314616E+02   -.2445568E+01    .9300301E+00
    -.5927653E-01   -.1181857E+02   -.4027727E+01    .9300301E+00
    -.6199061E-01   -.1181857E+02    .1201955E+01   -.1032068E+01
    -.5410355E-01   -.1314616E+02   -.3802051E+00   -.1032068E+01
    -.5280435E-01   -.1314616E+02   -.2445568E+01   -.1032068E+01
    -.5786032E-01   -.1181857E+02   -.4027727E+01   -.1032068E+01
    -.6707230E-01   -.1181857E+02   -.3160403E+00   -.2619438E+01
    -.6367413E-01   -.1181857E+02   -.2509732E+01   -.2619438E+01
    -.8266377E-01   -.8420823E+01    .2778503E+01    .3624326E+01
    -.7040607E-01   -.7844177E+01    .4553237E+01    .3018004E+01
    -.6351645E-01   -.9930502E+01    .3875349E+01    .3018004E+01
    -.5881815E-01   -.7896517E+01    .5751991E+01    .1430634E+01
    -.5464516E-01   -.9930502E+01    .5393344E+01    .1430634E+01
    -.5568582E-01   -.1125809E+02    .3811184E+01    .1430634E+01
    -.6233350E-01   -.1125809E+02    .1745822E+01    .1430634E+01
    -.6173070E-01   -.7896517E+01    .5751991E+01   -.5314640E+00
    -.5628984E-01   -.9930502E+01    .5393344E+01   -.5314640E+00
    -.5701108E-01   -.1125809E+02    .3811184E+01   -.5314640E+00
    -.6206433E-01   -.1125809E+02    .1745822E+01   -.5314640E+00
    -.7634409E-01   -.7844177E+01    .4553237E+01   -.2118835E+01
